type,sample,dg,time,est,lower,upper,sukup,x,age_group,agegr,0,1,total,pros,pr_years,agegr_years,year
ci,all,f0,47,0.556,0.54,0.572,1,47,,,,,,,,,
ci,all,f0,48,0.605,0.589,0.622,1,48,,,,,,,,,
ci,all,f0,49,0.65,0.633,0.667,1,49,,,,,,,,,
ci,all,f0,50,0.702,0.684,0.72,1,50,,,,,,,,,
ci,all,f0,51,0.762,0.744,0.781,1,51,,,,,,,,,
ci,all,f0,52,0.827,0.808,0.847,1,52,,,,,,,,,
ci,all,f0,53,0.892,0.873,0.913,1,53,,,,,,,,,
ci,all,f0,54,0.968,0.948,0.989,1,54,,,,,,,,,
ci,all,f0,55,1.051,1.03,1.072,1,55,,,,,,,,,
ci,all,f0,56,1.148,1.125,1.17,1,56,,,,,,,,,
ci,all,f0,57,1.241,1.218,1.265,1,57,,,,,,,,,
ci,all,f0,58,1.342,1.318,1.366,1,58,,,,,,,,,
ci,all,f0,59,1.456,1.431,1.481,1,59,,,,,,,,,
ci,all,f0,60,1.574,1.548,1.6,1,60,,,,,,,,,
ci,all,f0,61,1.703,1.676,1.73,1,61,,,,,,,,,
ci,all,f0,62,1.839,1.811,1.867,1,62,,,,,,,,,
ci,all,f0,63,1.992,1.963,2.022,1,63,,,,,,,,,
ci,all,f0,64,2.159,2.129,2.19,1,64,,,,,,,,,
ci,all,f0,65,2.349,2.318,2.381,1,65,,,,,,,,,
ci,all,f0,66,2.565,2.532,2.598,1,66,,,,,,,,,
ci,all,f0,67,2.812,2.777,2.847,1,67,,,,,,,,,
ci,all,f0,68,3.092,3.055,3.129,1,68,,,,,,,,,
ci,all,f0,69,3.433,3.394,3.472,1,69,,,,,,,,,
ci,all,f0,70,3.817,3.775,3.858,1,70,,,,,,,,,
ci,all,f0,71,4.271,4.227,4.315,1,71,,,,,,,,,
ci,all,f0,72,4.793,4.747,4.841,1,72,,,,,,,,,
ci,all,f0,73,5.385,5.335,5.435,1,73,,,,,,,,,
ci,all,f0,74,6.065,6.011,6.119,1,74,,,,,,,,,
ci,all,f0,75,6.834,6.777,6.892,1,75,,,,,,,,,
ci,all,f0,76,7.689,7.628,7.751,1,76,,,,,,,,,
ci,all,f0,77,8.644,8.578,8.71,1,77,,,,,,,,,
ci,all,f0,78,9.698,9.628,9.769,1,78,,,,,,,,,
ci,all,f0,79,10.81,10.735,10.885,1,79,,,,,,,,,
ci,all,f0,80,12.016,11.936,12.096,1,80,,,,,,,,,
ci,all,f0,81,13.23,13.146,13.314,1,81,,,,,,,,,
ci,all,f0,82,14.465,14.376,14.554,1,82,,,,,,,,,
ci,all,f0,83,15.74,15.647,15.833,1,83,,,,,,,,,
ci,all,f0,84,17.031,16.934,17.128,1,84,,,,,,,,,
ci,all,f0,85,18.254,18.153,18.355,1,85,,,,,,,,,
ci,all,f0,86,19.39,19.286,19.495,1,86,,,,,,,,,
ci,all,f0,87,20.428,20.321,20.536,1,87,,,,,,,,,
ci,all,f0,88,21.404,21.294,21.515,1,88,,,,,,,,,
ci,all,f0,89,22.286,22.173,22.399,1,89,,,,,,,,,
ci,all,f0,90,22.972,22.857,23.088,1,90,,,,,,,,,
ci,all,f0,91,23.532,23.415,23.65,1,91,,,,,,,,,
ci,all,f0,92,24,23.881,24.119,1,92,,,,,,,,,
ci,all,f0,93,24.399,24.279,24.52,1,93,,,,,,,,,
ci,all,f0,94,24.693,24.572,24.815,1,94,,,,,,,,,
ci,all,f0,95,24.894,24.772,25.016,1,95,,,,,,,,,
ci,all,f0,96,25.028,24.905,25.15,1,96,,,,,,,,,
ci,all,f0,97,25.114,24.991,25.238,1,97,,,,,,,,,
ci,all,f0,98,25.171,25.048,25.295,1,98,,,,,,,,,
ci,all,f0,99,25.206,25.082,25.33,1,99,,,,,,,,,
ci,all,f0,100,25.223,25.1,25.347,1,100,,,,,,,,,
ci,all,f00_f03,35,0.005,0.003,0.006,2,35,,,,,,,,,
ci,all,f00_f03,36,0.007,0.005,0.009,2,36,,,,,,,,,
ci,all,f00_f03,37,0.011,0.009,0.013,2,37,,,,,,,,,
ci,all,f00_f03,38,0.016,0.014,0.019,2,38,,,,,,,,,
ci,all,f00_f03,39,0.02,0.017,0.023,2,39,,,,,,,,,
ci,all,f00_f03,40,0.023,0.02,0.027,2,40,,,,,,,,,
ci,all,f00_f03,41,0.027,0.024,0.031,2,41,,,,,,,,,
ci,all,f00_f03,42,0.033,0.029,0.037,2,42,,,,,,,,,
ci,all,f00_f03,43,0.041,0.036,0.045,2,43,,,,,,,,,
ci,all,f00_f03,44,0.049,0.044,0.054,2,44,,,,,,,,,
ci,all,f00_f03,45,0.055,0.05,0.061,2,45,,,,,,,,,
ci,all,f00_f03,46,0.062,0.056,0.067,2,46,,,,,,,,,
ci,all,f00_f03,47,0.071,0.065,0.077,2,47,,,,,,,,,
ci,all,f00_f03,48,0.082,0.076,0.088,2,48,,,,,,,,,
ci,all,f00_f03,49,0.094,0.088,0.101,2,49,,,,,,,,,
ci,all,f00_f03,50,0.107,0.1,0.114,2,50,,,,,,,,,
ci,all,f00_f03,51,0.123,0.116,0.131,2,51,,,,,,,,,
ci,all,f00_f03,52,0.14,0.133,0.149,2,52,,,,,,,,,
ci,all,f00_f03,53,0.159,0.151,0.168,2,53,,,,,,,,,
ci,all,f00_f03,54,0.182,0.173,0.192,2,54,,,,,,,,,
ci,all,f00_f03,55,0.212,0.203,0.222,2,55,,,,,,,,,
ci,all,f00_f03,56,0.243,0.232,0.253,2,56,,,,,,,,,
ci,all,f00_f03,57,0.277,0.266,0.289,2,57,,,,,,,,,
ci,all,f00_f03,58,0.316,0.304,0.328,2,58,,,,,,,,,
ci,all,f00_f03,59,0.36,0.348,0.373,2,59,,,,,,,,,
ci,all,f00_f03,60,0.411,0.398,0.425,2,60,,,,,,,,,
ci,all,f00_f03,61,0.472,0.458,0.486,2,61,,,,,,,,,
ci,all,f00_f03,62,0.536,0.52,0.551,2,62,,,,,,,,,
ci,all,f00_f03,63,0.607,0.59,0.623,2,63,,,,,,,,,
ci,all,f00_f03,64,0.694,0.677,0.712,2,64,,,,,,,,,
ci,all,f00_f03,65,0.801,0.782,0.82,2,65,,,,,,,,,
ci,all,f00_f03,66,0.931,0.911,0.952,2,66,,,,,,,,,
